Interpretation_ID	Reference_ID	NarrativePlace_ID	Anchors_To_Entity_ID	Associated_Agent_ID	Narrative_Role	Spatial_Determination	Spatial_Relation_Type	Spatial_Component_Role	Spatial_Component_Of	Spatial_Component_Order	Confidence	Annotator_ID	Annotation_Date	Annotation_Method	Critical_Note
interp_00020	ref_00020	santi_quattro_coronati	gaz_santi_quattro_coronati	don_lorenzo_corpi	marker	approximate					1.0	lorenzo_sabatino	2026-01-17	close_reading	
interp_00021	ref_00021	santa_maria_in_porta_paradisi	gaz_santa_maria_in_porta_paradisi	ingravallo	marker	approximate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00022	ref_00022	salsomaggiore	gaz_salsomaggiore	narrator	marker	indeterminate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00023	ref_00023	monteleone	gaz_monteleone	nipote_un1	marker	indeterminate					0.8	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	"Monteleone, probabilmente Monteleone sabino, indicato come luogo d'origine d'una delle ""nipotine"" al servizio dei Balducci"
interp_00024	ref_00024	anzio	gaz_anzio	ingravallo	marker	indeterminate					0.8	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	Anzio si collona nel territorio costiero del Castelli Romani
interp_00025	ref_00025	area_oltre_tevere	gaz_colli_albani	liliana	projectedspace	relative	overlaps				0.5	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	Area paesaggistica vaga e analogica, delimitata dal Tevere e costruita per accumulo descrittivo (castelli, vigne, colli, monti, piane), contrapposta alla città di Roma; spazio percepito e mitizzato da Liliana Balducci. Il Tevere funziona come barriera idrografica e simbolica di separazione tra spazio urbano e spazio campestre, più che come luogo in sé.
interp_00026	ref_00026	via_merulana	gaz_via_merulana	narrator	setting	precise					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00027	ref_00027	palazzo_219	gaz_via_merulana	narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00028	ref_00028	via_delle_oche	gaz_milano	ingravallo	projectedspace	relative	inside				0.5	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	"L’espressione «via delle Oche», riferita a Milano, non risulta attestata nella toponomastica urbana storica. Il toponimo può essere interpretato come una trasposizione simbolica e ironica della via delle Oche bolognese, luogo storicamente associato alla prostituzione e alla cultura popolare femminile. Il contesto discorsivo (la figura della «ragazza» e il riferimento al «dispensario celtico» come ""luogo di marginalità femminile travestito da antropologia nordica"") suggerisce un uso allusivo e deformante dello spazio urbano, coerente con la pratica gaddiana di sovrapposizione e travestimento topografico. Il riferimento non va quindi inteso in senso referenziale, ma come costruzione narrativa a forte densità simbolica (prostituzione, oralità popolare, corpo femminile)."
interp_00029	ref_00028	via_delle_oche	gaz_bologna	ingravallo	projectedspace	relative	inside				0.5	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	"L’espressione «via delle Oche», riferita a Milano, non risulta attestata nella toponomastica urbana storica. Il toponimo può essere interpretato come una trasposizione simbolica e ironica della via delle Oche bolognese, luogo storicamente associato alla prostituzione e alla cultura popolare femminile. Il contesto discorsivo (la figura della «ragazza» e il riferimento al «dispensario celtico» come ""luogo di marginalità femminile travestito da antropologia nordica"") suggerisce un uso allusivo e deformante dello spazio urbano, coerente con la pratica gaddiana di sovrapposizione e travestimento topografico. Il riferimento non va quindi inteso in senso referenziale, ma come costruzione narrativa a forte densità simbolica (prostituzione, oralità popolare, corpo femminile)."
interp_00030	ref_00029	via_merulana	gaz_via_merulana	ingravallo	setting	approximate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00031	ref_00030	palazzo_219	gaz_via_merulana	ingravallo	setting	approximate	inside				1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00032	ref_00031	via_merulana	gaz_via_merulana	ingravallo	setting	approximate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00033	ref_00032	via_botteghe_oscure	gaz_via_botteghe_oscure	dottor_fumi	projectedspace	approximate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00034	ref_00033	viale_liegi	gaz_viale_liegi	dottor_fumi	projectedspace	approximate					1.0	lorenzo_sabatino	2026-02-01 00:00:00	close_reading	
interp_00035	ref_00034	viminale	gaz_viminale	ingravallo				routenode	tragitto_viminale_merulana	1	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00036	ref_00034	viminale	gaz_viminale	gaudenzio				routenode	tragitto_viminale_merulana	1	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00037	ref_00034	viminale	gaz_viminale	pompeo				routenode	tragitto_viminale_merulana	1	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00038	ref_00035	san_giovanni_in_laterano	gaz_san_giovanni_in_laterano	ingravallo				routenode	tragitto_viminale_merulana	2	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00039	ref_00035	san_giovanni_in_laterano	gaz_san_giovanni_in_laterano	gaudenzio				routenode	tragitto_viminale_merulana	2	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00040	ref_00035	san_giovanni_in_laterano	gaz_san_giovanni_in_laterano	pompeo				routenode	tragitto_viminale_merulana	2	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00041	ref_00036	palazzo_219	gaz_via_merulana	ingravallo			inside	routenode	tragitto_viminale_merulana	3	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00042	ref_00036	palazzo_219	gaz_via_merulana	gaudenzio			inside	routenode	tragitto_viminale_merulana	3	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00043	ref_00036	palazzo_219	gaz_via_merulana	pompeo			inside	routenode	tragitto_viminale_merulana	3	1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00044	ref_00037	tragitto_viminale_merulana		ingravallo	route	precise					1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	Percorso di Ingravallo, Gaudenzio e Pompeo
interp_00045	ref_00037	tragitto_viminale_merulana		gaudenzio	route	precise					1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	Percorso di Ingravallo, Gaudenzio e Pompeo
interp_00046	ref_00037	tragitto_viminale_merulana		pompeo	route	precise					1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	Percorso di Ingravallo, Gaudenzio e Pompeo
interp_00047	ref_00038	palazzo_219	gaz_via_merulana	ingravallo	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00048	ref_00038	palazzo_219	gaz_via_merulana	gaudenzio	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00049	ref_00038	palazzo_219	gaz_via_merulana	pompeo	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00050	ref_00039	palazzo_219	gaz_via_merulana	ingravallo	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	L’espressione «la ben nota architettura» costituisce una perifrasi eufemistica e allusiva riferita al palazzo di via Merulana (civico 219), già più volte menzionato nel romanzo attraverso denominazioni varianti. L’identificazione non è letterale né nominativa, ma si fonda sulla ricorrenza contestuale, sulla focalizzazione interna (Ingravallo) e sul valore di riconoscibilità implicita attribuito al luogo, che assume qui una funzione evocativa e psicologica più che descrittiva o topografica.
interp_00051	ref_00040	palazzo_219	gaz_via_merulana	ingravallo	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	L’espressione «casermone color pidocchio» costituisce una perifrasi eufemistica e allusiva riferita al palazzo di via Merulana (civico 219), già più volte menzionato nel romanzo attraverso denominazioni varianti.
interp_00052	ref_00040	palazzo_219	gaz_via_merulana	gaudenzio	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	L’espressione «casermone color pidocchio» costituisce una perifrasi eufemistica e allusiva riferita al palazzo di via Merulana (civico 219), già più volte menzionato nel romanzo attraverso denominazioni varianti.
interp_00053	ref_00040	palazzo_219	gaz_via_merulana	pompeo	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	L’espressione «casermone color pidocchio» costituisce una perifrasi eufemistica e allusiva riferita al palazzo di via Merulana (civico 219), già più volte menzionato nel romanzo attraverso denominazioni varianti.
interp_00054	ref_00041	palazzo_219	gaz_via_merulana	monello	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	L’espressione «sto palazzo» costituisce una perifrasi eufemistica e allusiva riferita al palazzo di via Merulana (civico 219), già più volte menzionato nel romanzo attraverso denominazioni varianti.
interp_00055	ref_00042	san_giovanni	gaz_san_giovanni	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00056	ref_00043	scala_a		ingravallo	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	Scala A del palazzo, in cui si realizzeranno i due crimini centrali del romanzo
interp_00057	ref_00044	sacro_cuore	gaz_sacro_cuore	luigia_zanchetti	projectedspace	indeterminate					1.0	lorenzo_sabatino	2026-02-02 00:00:00	close_reading	
interp_00058	ref_00045	piani_alti_219		narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	Piani alti della Scala A, palazzo 219
interp_00059	ref_00046	palazzo_219	gaz_via_merulana	narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	"Palazzo del ""fattaccio"", in cui prende luogo l'evento principale del romanzo"
interp_00060	ref_00047	scale		narrator	setting	precise	inside				1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	Scala A e Scala B del palazzo, a riflettere la simmetria imperfetta che alligna nel Palazzo
interp_00061	ref_00048	scala_a		narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	Scala A del palazzo, in cui si realizzeranno i due crimini centrali del romanzo
interp_00062	ref_00049	santa_maria_maggiore	gaz_santa_maria_maggiore	character_un1	marker	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00063	ref_00050	palazzo_219	gaz_via_merulana	portinaia	setting	relative	inside				1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00064	ref_00051	via_valadier	gaz_via_valadier	narrator	projectedspace	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00065	ref_00052	via_montebello	gaz_via_montebello	narrator	projectedspace	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00066	ref_00053	tranvie_dei_castelli	gaz_tranvie_dei_castelli	ingravallo	marker	approximate					0.9	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00067	ref_00054	due_santi	gaz_due_santi	ingravallo	marker	approximate					0.9	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00068	ref_00055	torraccio	gaz_torraccio	gaudenzio	setting	approximate					0.9	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00069	ref_00056	marino	gaz_marino	cencia	zoneofaction	approximate					0.9	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00070	ref_00057	via_de_querceti	gaz_via_de_querceti	cencia	marker	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00071	ref_00058	santi_quattro_coronati	gaz_santi_quattro_coronati	cencia	marker	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00072	ref_00059	santi_quattro_coronati	gaz_santi_quattro_coronati	don_lorenzo_corpi	marker	approximate					1.0	lorenzo_sabatino	2026-02-26 00:00:00	close_reading	
interp_00073	ref_00060	palazzo_219	gaz_via_merulana	portinaia	setting	relative	inside				1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	"Palazzo del ""fattaccio"""
interp_00074	ref_00061	san_luigi_de_francesi	gaz_san_luigi_de_francesi	commendador_angeloni	marker	approximate					1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00075	ref_00062	santa_maria_sopra_minerva	gaz_santa_maria_sopra_minerva	commendador_angeloni	marker	approximate					1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00076	ref_00063	santagostino	gaz_santagostino	commendador_angeloni				routenode	tragitto_agostino_aquiro	1	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00077	ref_00064	via_della_scrofa	gaz_via_della_scrofa	commendador_angeloni				routenode	tragitto_agostino_aquiro	2	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00078	ref_00065	via_delle_coppelle	gaz_via_delle_coppelle	commendador_angeloni				routenode	tragitto_agostino_aquiro	3	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00079	ref_00066	pozzo_delle_cornacchie	gaz_pozzo_delle_cornacchie	commendador_angeloni				routenode	tragitto_agostino_aquiro	4	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00080	ref_00067	santa_maria_in_aquiro	gaz_santa_maria_in_aquiro	commendador_angeloni				routenode	tragitto_agostino_aquiro	5	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00081	ref_00068	tragitto_agostino_aquiro		commendador_angeloni	route	precise					1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00082	ref_00069	via_colonna_vittoria	gaz_via_colonna_vittoria	commendador_angeloni				routenode	tragitto_colonna_treccani	1	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00083	ref_00070	piazza_di_pietra	gaz_piazza_di_pietra	commendador_angeloni				routenode	tragitto_colonna_treccani	2	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00084	ref_00071	via_di_pietra	gaz_via_di_pietra	commendador_angeloni				routenode	tragitto_colonna_treccani	3	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00085	ref_00072	via_del_corso	gaz_via_del_corso	commendador_angeloni				routenode	tragitto_colonna_treccani	4	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00086	ref_00073	istituto_dellenciclopedia_treccani	gaz_istituto_dellenciclopedia_treccani	commendador_angeloni				routenode	tragitto_colonna_treccani	5	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00087	ref_00074	gioielliere_catellani	gaz_roma	commendador_angeloni	marker	indeterminate	inside				0.5	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00088	ref_00075	tragitto_colonna_treccani		commendador_angeloni	route	precise					1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00089	ref_00076	santa_chiara	gaz_santa_chiara	commendador_angeloni				routenode	tragitto_chiara_pantheon	1	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00090	ref_00077	via_della_palombella	gaz_via_della_palombella	commendador_angeloni				routenode	tragitto_chiara_pantheon	2	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00091	ref_00078	pantheon	gaz_pantheon	commendador_angeloni				routenode	tragitto_chiara_pantheon	3	1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00092	ref_00079	tragitto_chiara_pantheon		commendador_angeloni	route	precise					1.0	lorenzo_sabatino	2026-03-02 00:00:00	close_reading	
interp_00093	ref_00080	via_campo_marzio	gaz_via_campo_marzio	commendador_angeloni	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00094	ref_00081	via_del_parlamento	gaz_via_del_parlamento	commendador_angeloni	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00095	ref_00082	via_merulana	gaz_via_merulana	commendador_angeloni	setting	precise					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00096	ref_00083	palazzo_219	gaz_via_merulana	commendador_angeloni	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00097	ref_00084	santo_stefano_del_cacco_celio_santo_stefano	gaz_santo_stefano_del_cacco_celio_santo_stefano	commendador_angeloni	projectedspace	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00098	ref_00084	santo_stefano_del_cacco_celio_santo_stefano	gaz_santo_stefano_del_cacco_celio_santo_stefano	ingravallo	projectedspace	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00099	ref_00085	maccheronaro	gaz_maccheronaro	pompeo	marker	relative					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00100	ref_00086	via_del_gesu	gaz_via_del_gesu	pompeo	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00101	ref_00087	santo_stefano_del_cacco_celio_santo_stefano	gaz_santo_stefano_del_cacco_celio_santo_stefano	sor_manuela	setting	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00102	ref_00088	tevere_biferno	gaz_tevere	ingravallo	projectedspace	indeterminate	overlaps				0.5	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	Tevere e Biferno sono impiegati come sineddoche spaziale dei tratti diatopici della lingua di Ingravallo
interp_00103	ref_00088	tevere_biferno	gaz_biferno	ingravallo	projectedspace	indeterminate	overlaps				0.5	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	Tevere e Biferno sono impiegati come sineddoche spaziale dei tratti diatopici della lingua di Ingravallo
interp_00104	ref_00089	via_venti_settembre	gaz_via_venti_settembre	commendador_angeloni	projectedspace	precise					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00105	ref_00090	via_panisperna	gaz_via_panisperna	commendador_angeloni	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00106	ref_00091	via_dei_serpenti	gaz_via_dei_serpenti	gaudenzio	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00107	ref_00092	via_dei_serpenti	gaz_via_dei_serpenti	gaudenzio	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00108	ref_00093	via_panisperna	gaz_via_panisperna	gaudenzio	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00109	ref_00094	via_merulana	gaz_via_merulana	garzone_serpenti	marker	precise					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00110	ref_00095	via_merulana	gaz_via_merulana	portinaia	projectedspace	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00111	ref_00096	via_panisperna	gaz_via_panisperna	commendador_angeloni	projectedspace	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00112	ref_00097	palazzo_219	gaz_via_merulana	narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00113	ref_00098	scala_a		sor_manuela	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00114	ref_00098	scala_a		menegazzi	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00115	ref_00098	scala_a		bottafavi	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00116	ref_00098	scala_a		alda_pernetti	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00117	ref_00098	scala_a		fratello_pernetti	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00118	ref_00099	scala_b		sor_manuela	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00119	ref_00099	scala_b		orestino_bozzi	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00120	ref_00099	scala_b		sora_elodia	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00121	ref_00099	scala_b		enea_cucco	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00122	ref_00100	san_giovanni_in_laterano	gaz_san_giovanni_in_laterano	assunta	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00123	ref_00101	terzo_piano_219		narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00124	ref_00102	scala_a		narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00125	ref_00103	scala_b		narrator	setting	approximate	inside				1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00126	ref_00104	san_clemente	gaz_san_clemente	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00127	ref_00105	santantonio_da_padova	gaz_santantonio_da_padova	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00128	ref_00106	santi_quattro_coronati	gaz_santi_quattro_coronati	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00129	ref_00107	via_labbricana	gaz_via_labbricana	narrator	setting	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00130	ref_00108	via_merulana	gaz_via_merulana	narrator	setting	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00131	ref_00109	cobianchi	gaz_piazza_san_lorenzo_in_lucina	menegazzi	marker	indeterminate	near				0.5	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00132	ref_00110	piazza_san_lorenzo_in_lucina	gaz_piazza_san_lorenzo_in_lucina	menegazzi	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00133	ref_00111	palazzo_ruspoli	gaz_palazzo_ruspoli	menegazzi	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00134	ref_00112	san_silvestro_in_capite	gaz_san_silvestro_in_capite	menegazzi	marker	relative					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00135	ref_00113	celio	gaz_celio	ines_cionini	projectedspace	relative					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00136	ref_00114	torraccio	gaz_torraccio	ines_cionini	projectedspace	relative					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00137	ref_00115	torraccio	gaz_torraccio	dottor_fumi	projectedspace	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00138	ref_00116	torraccio	gaz_torraccio	ines_cionini	setting	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00139	ref_00117	san_giovanni	gaz_san_giovanni	ines_cionini	projectedspace	precise					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00140	ref_00118	santo_stefano_del_cacco_celio_santo_stefano	gaz_santo_stefano_del_cacco_celio_santo_stefano	ines_cionini	projectedspace	precise					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00141	ref_00119	santo_stefano_rotondo	gaz_santo_stefano_rotondo	ines_cionini	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
interp_00142	ref_00120	via_frangipane	gaz_via_frangipane	narrator	marker	approximate					1.0	lorenzo_sabatino	2026-04-04 00:00:00	close_reading	
